view,event,pixel_row,pixel_col,labels
0.0,0.0,1398.43257104,4105.67068367,C'
1.0,0.0,1414.0792797834367,3668.4919177861566,C'
2.0,0.0,1206.91574631,4175.58159963,C'
0.0,0.0,1420.60685555,7057.13841692,D'
1.0,0.0,1425.5264684,6638.3405110339445,D'
2.0,0.0,1215.94063266,7113.32379595,D'
0.0,0.0,407.311707,5217.56602448,B
1.0,0.0,769.77696761,5365.1043757,B
2.0,0.0,901.86361306,5273.77193882,B
0.0,0.0,1054.91736458,4083.25071514,C
1.0,0.0,1417.8965071764947,4236.328945304159,C
2.0,0.0,1551.4374658,4145.4012863,C
