view,event,pixel_row,pixel_col,labels,colours,types,symbols
0.0,,1241.8771528,4458.80208973,point,cyan,point,disc
0.0,,547.27520267,5571.46964481,B',#55ff00,front,x
0.0,,407.311707,5217.56602448,B,#00aa00,back,x
0.0,,1398.43257104,4105.67068367,C',#ff5500,front,x
0.0,,1054.91736458,4083.25071514,C,#aa0000,back,x
0.0,,1420.60685555,7057.13841692,D',#5500ff,front,x
0.0,,1073.42405181,6349.22310964,D,#0000aa,back,x
1.0,,1492.08818685,4420.03076255,point,cyan,point,disc
1.0,,563.13304728,5126.15190679,B',#55ff00,front,x
1.0,,769.77696761,5365.1043757,B,#00aa00,back,x
1.0,,1414.0792797834367,3668.4919177861566,C',#ff5500,front,x
1.0,,1417.8965071764947,4236.328945304159,C,#aa0000,back,x
1.0,,1425.5264684,6638.3405110339445,D',#5500ff,front,x
1.0,,1427.87846858,6491.42811567,D,#0000aa,back,x
2.0,,1513.9479341,4522.05154178,point,cyan,point,disc
2.0,,353.51428451,5631.43486332,B',#55ff00,front,x
2.0,,901.86361306,5273.77193882,B,#00aa00,back,x
2.0,,1206.91574631,4175.58159963,C',#ff5500,front,x
2.0,,1551.4374658,4145.4012863,C,#aa0000,back,x
2.0,,1215.94063266,7113.32379595,D',#5500ff,front,x
2.0,,1559.19637273,6401.92405786,D,#0000aa,back,x
1.0,0.0,1414.0792797834367,3668.4919177861566,C',none,none,none
1.0,1.0,563.13304728,5126.15190679,B',none,none,none
1.0,2.0,1427.87846858,6491.42811567,D,none,none,none
0.0,3.0,1398.43257104,4105.67068367,C',none,none,none
1.0,3.0,1414.0792797834367,3668.4919177861566,C',none,none,none
2.0,3.0,1206.91574631,4175.58159963,C',none,none,none
0.0,4.0,547.27520267,5571.46964481,B',none,none,none
1.0,4.0,563.13304728,5126.15190679,B',none,none,none
2.0,4.0,353.51428451,5631.43486332,B',none,none,none
0.0,5.0,1420.60685555,7057.13841692,D',none,none,none
1.0,5.0,1425.5264684,6638.3405110339445,D',none,none,none
2.0,5.0,1215.94063266,7113.32379595,D',none,none,none
1.0,6.0,1414.0792797834367,3668.4919177861566,C',none,none,none
1.0,6.0,563.13304728,5126.15190679,B',none,none,none
1.0,6.0,1427.87846858,6491.42811567,D,none,none,none
