view,event,pixel_row,pixel_col,labels,colours,types,symbols
0.0,,1276.5,2094.25,point,cyan,point,disc
0.0,,863.55,4188.5,,#55ff00,front,x
0.0,,1689.45,4188.5,,#00aa00,back,x
0.0,,863.55,5193.74,,#ff5500,front,x
0.0,,1689.45,5193.74,,#aa0000,back,x
0.0,,863.55,6198.98,,#5500ff,front,x
0.0,,1689.45,6198.98,,#0000aa,back,x
1.0,,1376.5,2094.25,point,cyan,point,disc
1.0,,963.55,4188.5,,#55ff00,front,x
1.0,,1789.45,4188.5,,#00aa00,back,x
1.0,,963.55,5193.74,,#ff5500,front,x
1.0,,1789.45,5193.74,,#aa0000,back,x
1.0,,963.55,6198.98,,#5500ff,front,x
1.0,,1789.45,6198.98,,#0000aa,back,x
2.0,,1476.5,2094.25,point,cyan,point,disc
2.0,,1063.55,4188.5,,#55ff00,front,x
2.0,,1889.45,4188.5,,#00aa00,back,x
2.0,,1063.55,5193.74,,#ff5500,front,x
2.0,,1889.45,5193.74,,#aa0000,back,x
2.0,,1063.55,6198.98,,#5500ff,front,x
2.0,,1889.45,6198.98,,#0000aa,back,x
